fine_label_id,coarse_label_id,coarse_label_name
0,11,large_omnivores_and_herbivores
1,15,reptiles
2,4,fruit_and_vegetables
3,14,people
4,1,fish
5,5,household_electrical_devices
6,18,vehicles_1
7,3,food_containers
8,10,large_natural_outdoor_scenes
9,11,large_omnivores_and_herbivores
10,5,household_electrical_devices
11,17,trees
12,2,flowers
13,9,large_man-made_outdoor_things
14,10,large_natural_outdoor_scenes
15,5,household_electrical_devices
16,18,vehicles_1
17,8,large_carnivores
18,16,small_mammals
19,10,large_natural_outdoor_scenes
20,16,small_mammals
21,17,trees
22,2,flowers
23,5,household_electrical_devices
24,17,trees
25,6,household_furniture
26,12,medium_mammals
27,17,trees
28,8,large_carnivores
29,12,medium_mammals
30,18,vehicles_1
31,9,large_man-made_outdoor_things
32,17,trees
33,16,small_mammals
34,11,large_omnivores_and_herbivores
35,5,household_electrical_devices
36,19,vehicles_2
37,14,people
38,7,insects
39,6,household_furniture
40,15,reptiles
41,13,non-insect_invertebrates
42,10,large_natural_outdoor_scenes
43,8,large_carnivores
44,17,trees
45,9,large_man-made_outdoor_things
46,14,people
47,18,vehicles_1
48,19,vehicles_2
49,15,reptiles
50,1,fish
51,7,insects
52,5,household_electrical_devices
53,3,food_containers
54,10,large_natural_outdoor_scenes
55,7,insects
56,17,trees
57,6,household_furniture
58,14,people
59,17,trees
60,16,small_mammals
61,0,aquatic_mammals
62,0,aquatic_mammals
63,8,large_carnivores
64,4,fruit_and_vegetables
65,14,people
66,4,fruit_and_vegetables
67,10,large_natural_outdoor_scenes
68,15,reptiles
69,4,fruit_and_vegetables
70,2,flowers
71,16,small_mammals
72,11,large_omnivores_and_herbivores
73,19,vehicles_2
74,16,small_mammals
75,7,insects
76,19,vehicles_2
77,14,people
78,10,large_natural_outdoor_scenes
79,8,large_carnivores
80,5,household_electrical_devices
81,12,medium_mammals
82,12,medium_mammals
83,11,large_omnivores_and_herbivores
84,10,large_natural_outdoor_scenes
85,8,large_carnivores
86,12,medium_mammals
87,13,non-insect_invertebrates
88,10,large_natural_outdoor_scenes
89,7,insects
90,14,people
91,11,large_omnivores_and_herbivores
92,14,people
93,19,vehicles_2
94,0,aquatic_mammals
95,4,fruit_and_vegetables
96,12,medium_mammals
97,13,non-insect_invertebrates
98,1,fish
99,15,reptiles
100,0,aquatic_mammals
101,5,household_electrical_devices
102,0,aquatic_mammals
103,8,large_carnivores
104,3,food_containers
105,15,reptiles
106,4,fruit_and_vegetables
107,19,vehicles_2
108,17,trees
109,6,household_furniture
110,17,trees
111,12,medium_mammals
112,6,household_furniture
113,0,aquatic_mammals
114,14,people
115,10,large_natural_outdoor_scenes
116,9,large_man-made_outdoor_things
117,11,large_omnivores_and_herbivores
118,6,household_furniture
119,10,large_natural_outdoor_scenes
120,12,medium_mammals
121,1,fish
122,14,people
123,4,fruit_and_vegetables
124,8,large_carnivores
125,1,fish
126,2,flowers
127,12,medium_mammals
128,4,fruit_and_vegetables
129,12,medium_mammals
130,18,vehicles_1
131,17,trees
132,5,household_electrical_devices
133,0,aquatic_mammals
134,6,household_furniture
135,0,aquatic_mammals
136,12,medium_mammals
137,11,large_omnivores_and_herbivores
138,9,large_man-made_outdoor_things
139,5,household_electrical_devices
140,17,trees
141,2,flowers
142,14,people
143,12,medium_mammals
144,5,household_electrical_devices
145,0,aquatic_mammals
146,13,non-insect_invertebrates
147,12,medium_mammals
148,16,small_mammals
149,4,fruit_and_vegetables
150,13,non-insect_invertebrates
151,0,aquatic_mammals
152,18,vehicles_1
153,15,reptiles
154,10,large_natural_outdoor_scenes
155,15,reptiles
156,5,household_electrical_devices
157,13,non-insect_invertebrates
158,1,fish
159,14,people
160,12,medium_mammals
161,3,food_containers
162,19,vehicles_2
163,1,fish
164,2,flowers
165,15,reptiles
166,5,household_electrical_devices
167,2,flowers
168,3,food_containers
169,12,medium_mammals
170,16,small_mammals
171,0,aquatic_mammals
172,11,large_omnivores_and_herbivores
173,12,medium_mammals
174,2,flowers
175,0,aquatic_mammals
176,4,fruit_and_vegetables
177,15,reptiles
178,7,insects
179,9,large_man-made_outdoor_things
180,11,large_omnivores_and_herbivores
181,14,people
182,11,large_omnivores_and_herbivores
183,3,food_containers
184,13,non-insect_invertebrates
185,13,non-insect_invertebrates
186,19,vehicles_2
187,13,non-insect_invertebrates
188,14,people
189,8,large_carnivores
190,14,people
191,1,fish
192,16,small_mammals
193,9,large_man-made_outdoor_things
194,16,small_mammals
195,18,vehicles_1
196,19,vehicles_2
197,6,household_furniture
198,5,household_electrical_devices
199,19,vehicles_2
200,5,household_electrical_devices
201,1,fish
202,14,people
203,14,people
204,10,large_natural_outdoor_scenes
205,12,medium_mammals
206,8,large_carnivores
207,7,insects
208,10,large_natural_outdoor_scenes
209,9,large_man-made_outdoor_things
210,16,small_mammals
211,19,vehicles_2
212,9,large_man-made_outdoor_things
213,13,non-insect_invertebrates
214,16,small_mammals
215,11,large_omnivores_and_herbivores
216,13,non-insect_invertebrates
217,9,large_man-made_outdoor_things
218,5,household_electrical_devices
219,18,vehicles_1
220,3,food_containers
221,2,flowers
222,5,household_electrical_devices
223,5,household_electrical_devices
224,11,large_omnivores_and_herbivores
225,2,flowers
226,5,household_electrical_devices
227,3,food_containers
228,14,people
229,19,vehicles_2
230,18,vehicles_1
231,18,vehicles_1
232,13,non-insect_invertebrates
233,12,medium_mammals
234,19,vehicles_2
235,11,large_omnivores_and_herbivores
236,13,non-insect_invertebrates
237,5,household_electrical_devices
238,15,reptiles
239,5,household_electrical_devices
240,18,vehicles_1
241,6,household_furniture
242,14,people
243,11,large_omnivores_and_herbivores
244,3,food_containers
245,17,trees
246,2,flowers
247,16,small_mammals
248,5,household_electrical_devices
249,5,household_electrical_devices
250,8,large_carnivores
251,18,vehicles_1
252,18,vehicles_1
253,4,fruit_and_vegetables
254,14,people
255,10,large_natural_outdoor_scenes
256,10,large_natural_outdoor_scenes
257,19,vehicles_2
258,17,trees
259,14,people
260,14,people
261,0,aquatic_mammals
262,8,large_carnivores
263,5,household_electrical_devices
264,12,medium_mammals
265,12,medium_mammals
266,7,insects
267,14,people
268,12,medium_mammals
269,17,trees
270,4,fruit_and_vegetables
271,1,fish
272,15,reptiles
273,14,people
274,2,flowers
275,10,large_natural_outdoor_scenes
276,18,vehicles_1
277,17,trees
278,11,large_omnivores_and_herbivores
279,9,large_man-made_outdoor_things
280,12,medium_mammals
281,3,food_containers
282,1,fish
283,4,fruit_and_vegetables
284,1,fish
285,6,household_furniture
286,18,vehicles_1
287,15,reptiles
288,7,insects
289,6,household_furniture
290,7,insects
291,19,vehicles_2
292,16,small_mammals
293,16,small_mammals
294,9,large_man-made_outdoor_things
295,16,small_mammals
296,12,medium_mammals
297,13,non-insect_invertebrates
298,18,vehicles_1
299,4,fruit_and_vegetables
300,10,large_natural_outdoor_scenes
301,13,non-insect_invertebrates
302,8,large_carnivores
303,19,vehicles_2
304,4,fruit_and_vegetables
305,15,reptiles
306,11,large_omnivores_and_herbivores
307,3,food_containers
308,14,people
309,7,insects
310,8,large_carnivores
311,4,fruit_and_vegetables
312,8,large_carnivores
313,1,fish
314,2,flowers
315,3,food_containers
316,8,large_carnivores
317,4,fruit_and_vegetables
318,2,flowers
319,6,household_furniture
320,9,large_man-made_outdoor_things
321,10,large_natural_outdoor_scenes
322,0,aquatic_mammals
323,14,people
324,2,flowers
325,6,household_furniture
326,12,medium_mammals
327,12,medium_mammals
328,3,food_containers
329,12,medium_mammals
330,2,flowers
331,4,fruit_and_vegetables
332,5,household_electrical_devices
333,12,medium_mammals
334,12,medium_mammals
335,1,fish
336,2,flowers
337,8,large_carnivores
338,8,large_carnivores
339,9,large_man-made_outdoor_things
340,16,small_mammals
341,5,household_electrical_devices
342,8,large_carnivores
343,15,reptiles
344,8,large_carnivores
345,9,large_man-made_outdoor_things
346,1,fish
347,17,trees
348,10,large_natural_outdoor_scenes
349,17,trees
350,6,household_furniture
351,11,large_omnivores_and_herbivores
352,2,flowers
353,4,fruit_and_vegetables
354,11,large_omnivores_and_herbivores
355,14,people
356,16,small_mammals
357,12,medium_mammals
358,9,large_man-made_outdoor_things
359,10,large_natural_outdoor_scenes
360,8,large_carnivores
361,16,small_mammals
362,2,flowers
363,13,non-insect_invertebrates
364,13,non-insect_invertebrates
365,16,small_mammals
366,0,aquatic_mammals
367,14,people
